title,artist,top genre,year released,dur
Glad You Came,The Wanted,boy band,2011,198
More - RedOne Jimmy Joker Remix,Usher,atl hip hop,2010,220
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,264
Black and Yellow,Wiz Khalifa,dance pop,2011,218
Roll Up,Wiz Khalifa,dance pop,2011,228
Skyfall,Adele,british soul,2012,286
Rumour Has It,Adele,british soul,2011,223
Years,Alesso,dance pop,2013,195
Too Close,Alex Clare,modern alternative rock,2011,257
Breezeblocks,alt-J,indie rock,2012,227
R U Mine?,Arctic Monkeys,garage rock,2012,200
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,israeli pop,2012,215
Levels - Radio Edit,Avicii,dance pop,2011,200
Silhouettes - Original Radio Edit,Avicii,dance pop,2012,212
212,Azealia Banks,dance pop,2014,205
So Good,B.o.B,atl hip hop,2012,213
Locked out of Heaven,Bruno Mars,dance pop,2012,233
It Will Rain,Bruno Mars,dance pop,2011,258
Feel So Close - Radio Edit,Calvin Harris,dance pop,2012,206
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,233
We'll Be Coming Back (feat. Example),Calvin Harris,dance pop,2012,234
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,193
Blown Away,Carrie Underwood,contemporary country,2012,240
Want U Back,Cher Lloyd,dance pop,2012,215
Turn Up the Music,Chris Brown,dance pop,2012,228
Paradise,Coldplay,permanent wave,2011,279
Princess of China,Coldplay,permanent wave,2011,239
Turn Me On (feat. Nicki Minaj),David Guetta,big room,2011,200
In The Dark,DEV,dance pop,2012,226
Latch,Disclosure,edm,2013,256
Hot Right Now - Edit,DJ Fresh,dancefloor dnb,2010,179
Take Care,Drake,canadian hip hop,2011,277
The Motto,Drake,canadian hip hop,2011,182
Lights - Single Version,Ellie Goulding,dance pop,2010,211
Good Feeling,Flo Rida,dance pop,2012,248
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,baroque pop,2012,218
Lost,Frank Ocean,alternative r&b,2012,234
Thinkin Bout You,Frank Ocean,alternative r&b,2012,201
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,251
Some Nights,fun.,baroque pop,2012,277
Somebody That I Used To Know,Gotye,australian pop,2011,245
Oblivion,Grimes,art pop,2012,251
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2011,222
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,157
It's Time,Imagine Dragons,modern rock,2012,238
On Top Of The World,Imagine Dragons,modern rock,2012,190
Ni**as In Paris,JAY-Z,east coast hip hop,2011,219
Boyfriend,Justin Bieber,canadian pop,2012,171
Mercy,Kanye West,chicago rap,2012,329
Brokenhearted,Karmin,dance pop,2012,227
The One That Got Away,Katy Perry,dance pop,2012,227
Part Of Me,Katy Perry,dance pop,2012,216
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,conscious hip hop,2012,314
m.A.A.d city,Kendrick Lamar,conscious hip hop,2012,350
Die Young,Kesha,dance pop,2012,212
C'Mon,Kesha,dance pop,2012,214
Ride,Lana Del Rey,art pop,2012,289
Video Games,Lana Del Rey,art pop,2012,282
Born To Die,Lana Del Rey,art pop,2012,286
BURN IT DOWN,Linkin Park,alternative metal,2012,230
Sexy And I Know It,LMFAO,dance pop,2011,199
Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,2012,250
Primadonna,MARINA,art pop,2012,221
How to Be a Heartbreaker,MARINA,art pop,2012,221
One More Night,Maroon 5,pop,2012,219
Payphone,Maroon 5,pop,2012,231
Adorn,Miguel,dance pop,2012,193
Madness,Muse,modern rock,2012,281
Everybody Talks,Neon Trees,modern alternative rock,2012,177
Starships,Nicki Minaj,dance pop,2011,211
Pound The Alarm,Nicki Minaj,dance pop,2012,206
Dirty Paws,Of Monsters and Men,folk-pop,2012,278
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,186
What Makes You Beautiful,One Direction,boy band,2012,200
Live While We're Young,One Direction,boy band,2012,200
Million Voices - Radio Edit,Otto Knows,edm,2012,193
Good Time,Owl City,indietronica,2012,206
Blow Me (One Last Kiss),P!nk,dance pop,2012,256
Take a Walk,Passion Pit,alternative dance,2012,264
"Gone, Gone, Gone",Phillip Phillips,folk-pop,2013,210
Home,Phillip Phillips,folk-pop,2013,210
Gangnam Style (강남스타일),PSY,k-pop,2012,219
We Found Love,Rihanna,barbadian pop,2011,215
Where Have You Been,Rihanna,barbadian pop,2011,243
R.I.P. (feat. Tinie Tempah),Rita Ora,dance pop,2012,228
Mama Do The Hump,Rizzle Kicks,uk hip hop,2011,216
Candy,Robbie Williams,dance pop,2012,201
Feel the Love (feat. John Newman),Rudimental,dance pop,2013,245
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,gangster rap,2012,197
Bangarang (feat. Sirah),Skrillex,brostep,2011,215
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,2011,207
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,2012,213
I Knew You Were Trouble.,Taylor Swift,pop,2012,220
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,193
Ho Hey,The Lumineers,folk-pop,2012,163
Chasing The Sun,The Wanted,boy band,2012,199
Angels,The xx,downtempo,2012,172
Drive By,Train,dance pop,2012,196
50 Ways to Say Goodbye,Train,dance pop,2012,248
Heart Attack,Trey Songz,dance pop,2012,233
Rack City,Tyga,dance pop,2012,203
Faded,Tyga,dance pop,2012,207
Climax,Usher,atl hip hop,2012,233
Anna Sun,WALK THE MOON,dance pop,2012,321
"Work Hard, Play Hard",Wiz Khalifa,dance pop,2012,219
We Own It (Fast & Furious),2 Chainz,atl hip hop,2013,228
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,2013,234
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,161
Do I Wanna Know?,Arctic Monkeys,garage rock,2013,272
The Way,Ariana Grande,dance pop,2013,227
Wake Me Up,Avicii,dance pop,2013,247
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,2012,208
Here's to Never Growing Up,Avril Lavigne,canadian pop,2013,214
